City,Sec_Rnd_RTE_pct,Sec_Rnd_RTE_cnt,Sec_Rnd_KK_pct,Sec_Rnd_KK_cnt,First_Rnd_RTE_pct,First_Rnd_RTE_cnt,First_Rnd_KK_pct,First_Rnd_KK_cnt,First_Rnd_MI_pct,First_Rnd_MI_cnt,First_Rnd_SO_pct,First_Rnd_SO_cnt
Adana,45.96,621.003,54.04,730.274,43.93,610.132,50.89,706.780,0.37,5110,4.82,66903
Adiyaman,68.84,216.491,31.16,97.982,66.20,211.389,31.24,99.771,0.38,1203,2.18,6963
Afyon,67.84,312.452,32.16,148.136,63.86,301.938,28.87,136.507,0.56,2645,6.71,31711
Agri,34.66,68.790,65.34,129.693,31.72,68.468,65.80,142.021,0.40,873,2.08,4489
Amasya,59.16,134.428,40.84,92.811,56.25,130.248,38.04,88.091,0.39,907,5.31,12301
Ankara,48.77,1.817.796,51.23,1.909.749,46.00,1.772.846,47.32,1.824.023,0.29,11143,6.39,246395
Antalya,42.65,689.175,57.35,926.707,39.85,667.720,53.13,890.202,0.59,9883,6.44,107849
Artvin,50.65,57.308,49.35,55.833,47.68,54.620,46.59,53.371,0.52,601,5.2,5958
Aydin,40.16,301.709,59.84,449.559,38.08,294.124,56.04,432.886,0.68,5258,5.2,40130
Balikesir,47.80,412.724,52.20,450.802,45.07,399.145,48.67,431.015,0.68,5996,5.59,49463
Bilecik,53.47,78.219,46.53,68.057,49.88,75.103,41.26,62.120,0.73,1098,8.12,12232
Bingol,68.08,95.730,31.92,44.885,65.08,94.412,32.53,47.195,0.39,564,2,2898
Bitlis,49.79,82.224,50.21,82.926,46.45,80.997,50.91,88.779,0.39,688,2.25,3928
Bolu,64.67,133.670,35.33,73.030,60.88,128.951,31.03,65.720,0.60,1262,7.5,15893
Burdur,55.83,97.956,44.17,77.496,51.71,93.090,40.89,73.601,0.83,1493,6.57,11832
Bursa,54.66,1.118.511,45.34,927.775,51.47,1.089.602,40.61,859.707,0.46,9643,7.46,157814
canakkale,41.91,160.736,58.09,222.754,39.49,155.165,54.58,214.450,0.70,2751,5.22,20511
cankiri,76.76,92.593,23.24,28.040,72.14,88.908,20.34,25.065,0.47,576,7.06,8702
corum,64.78,225.583,35.22,122.664,61.74,218.807,33.12,117.373,0.40,1414,4.75,16822
Denizli,47.01,326.035,52.99,367.447,43.88,312.634,48.36,344.527,0.67,4738,7.09,50509
Diyarbakir,28.34,242.074,71.66,611.981,26.48,239.827,71.96,651.793,0.31,2815,1.26,11387
Edirne,33.09,91.801,66.91,185.607,32.11,91.025,63.46,179.873,0.59,1673,3.84,10875
Elazig,70.27,244.904,29.73,103.607,67.18,242.098,28.24,101.764,0.28,1003,4.31,15531
Erzincan,62.05,92.243,37.95,56.412,59.30,89.811,35.69,54.049,0.18,279,4.82,7307
Erzurum,73.56,306.489,26.44,110.188,68.59,295.655,24.56,105.892,0.28,1228,6.57,28301
Eskisehir,44.59,266.063,55.41,330.595,41.81,257.707,50.39,310.550,0.49,2995,7.31,45076
Gaziantep,62.72,697.194,37.28,414.367,59.76,684.050,34.65,396.593,0.41,4717,5.18,59247
Giresun,64.69,190.440,35.31,103.960,61.05,183.750,32.92,99.079,0.55,1660,5.48,16506
Gumushane,78.54,60.401,21.46,16.505,74.42,58.267,19.92,15.598,0.32,249,5.34,4183
Hakkari,27.89,39.754,72.11,102.784,24.64,37.188,72.32,109.148,0.30,458,2.74,4139
Hatay,50.14,430.651,49.86,428.258,48.03,418.228,48.08,418.709,0.32,2747,3.57,31118
Isparta,57.67,160.927,42.33,118.138,53.65,154.331,38.23,109.962,0.64,1839,7.48,21530
Mersin,39.73,467.668,60.27,709.410,37.57,455.498,57.18,693.167,0.41,4930,4.84,58662
istanbul,48.22,4.768.657,51.78,5.121.194,46.68,4.738.680,48.56,4.928.772,0.25,25699,4.51,457564
izmir,32.87,978.316,67.13,1.998.359,31.48,964.470,63.31,1.939.651,0.45,13744,4.76,145808
Kars,43.60,59.057,56.40,76.383,39.39,56.366,54.57,78.105,0.48,688,5.56,7956
Kastamonu,69.73,172.280,30.27,74.804,65.45,165.570,26.64,67.390,0.76,1911,7.15,18090
Kayseri,67.89,604.784,32.11,285.990,63.33,582.088,27.48,252.613,0.36,3294,8.83,81125
Kirklareli,31.58,80.875,68.42,175.251,30.47,79.824,65.02,170.348,0.47,1243,4.04,10575
Kirsehir,57.32,82.464,42.68,61.401,54.11,80.871,38.80,57.984,0.39,589,6.69,10003
Kocaeli,57.01,754.914,42.99,569.245,54.27,740.508,38.73,528.534,0.37,5047,6.63,90407
Konya,72.99,1.008.416,27.01,373.100,68.94,983.270,23.92,341.123,0.39,5544,6.75,96333
Kütahya,70.59,266.424,29.41,110.993,66.31,256.211,26.38,101.909,0.64,249,6.67,25754
Malatya,71.96,302.280,28.04,117.804,69.39,296.188,27.11,115.695,0.25,1050,3.26,13906
Manisa,50.20,485.424,49.80,481.622,47.15,468.849,46.08,458.205,0.65,6501,6.12,60884
Kahramanmaras,75.77,469.039,24.23,150.013,71.88,453.535,22.20,140.066,0.42,2655,5.5,34729
Mardin,34.76,146.215,65.24,274.420,32.29,141.234,66.11,289.109,0.24,1038,1.36,5959
Mugla,33.46,232.111,66.54,461.644,31.66,225.948,62.90,448.925,0.67,4767,4.77,34037
Mus,41.67,72.704,58.33,101.792,39.12,72.102,58.88,108.519,0.30,557,1.69,3120
Nevsehir,66.54,129.867,33.46,65.310,62.88,125.889,30.64,61.350,0.39,773,6.09,12195
Nigde,62.05,133.950,37.95,81.941,58.49,130.421,34.92,77.875,0.52,1162,6.07,13541
Ordu,65.21,320.120,34.79,170.786,62.16,312.502,32.45,163.148,0.59,2959,4.81,24164
Rize,75.86,173.248,24.14,55.145,72.79,169.230,22.03,51.211,0.35,803,4.83,11234
Sakarya,68.49,469.765,31.51,216.128,64.75,457.175,27.87,196.777,0.43,3069,6.95,49076
Samsun,65.34,570.063,34.66,302.436,62.02,555.696,31.47,281.961,0.47,4215,6.05,54166
Siirt,44.56,69.113,55.44,85.992,41.55,67.465,56.26,91.352,0.37,604,1.82,2960
Sinop,61.85,89.454,38.15,55.184,58.52,85.405,35.46,51.751,0.79,1146,5.24,7650
Sivas,73.09,288.136,26.91,106.082,69.40,280.294,24.25,97.940,0.24,978,6.11,24659
Tekirdag,40.67,302.233,59.33,440.815,39.02,298.503,55.44,424.099,0.49,3769,5.04,38539
Tokat,66.30,255.247,33.70,129.769,63.19,246.880,31.37,122.560,0.33,1307,5.11,19949
Trabzon,68.89,358.915,31.11,162.055,65.32,349.217,28.33,151.436,0.37,1996,5.98,31981
Tunceli,17.19,9.778,82.81,47.112,16.20,9.178,80.26,45.457,0.13,72,3.41,1933
sanliurfa,64.86,610.116,35.14,330.565,62.00,606.584,36.08,352.939,0.33,3197,1.59,15576
Usak,51.02,123.777,48.98,118.815,47.60,118.509,45.13,112.365,0.72,1794,6.55,16307
Van,38.50,193.036,61.50,308.421,35.61,191.106,62.26,334.192,0.35,1887,1.78,9554
Yozgat,76.36,190.924,23.64,59.098,72.70,185.629,21.34,54.485,0.35,903,5.61,14333
Zonguldak,54.80,211.991,45.20,174.859,51.89,205.720,41.59,164.898,0.72,2874,5.8,22985
Aksaray,75.38,185.625,24.62,60.611,71.53,180.181,22.40,56.425,0.43,1077,5.64,14208
Bayburt,82.45,39.731,17.55,8.455,78.86,38.754,15.38,7.560,0.25,121,5.51,2710
Karaman,65.88,105.317,34.12,54.533,61.28,100.850,30.17,49.647,0.64,1053,7.91,13026
Kirikkale,63.71,108.346,36.29,61.710,59.66,105.648,33.09,58.598,0.43,754,6.82,12083
Batman,31.94,100.177,68.06,213.499,30.95,101.386,67.57,221.356,0.29,936,1.2,3941
sirnak,23.70,60.133,76.30,193.639,21.43,57.228,75.85,202.543,0.28,736,2.44,6509
Bartin,60.00,77.963,40.00,51.971,56.10,74.428,36.49,48.409,0.97,1288,6.43,8534
Ardahan,42.32,22.497,57.68,30.657,39.16,21.355,56.15,30.619,0.49,267,4.2,2293
Igdir,33.22,31.501,66.78,63.326,25.29,26.056,62.49,64.369,0.28,284,11.94,12304
Yalova,50.42,85.212,49.58,83.799,47.74,83.608,45.42,79.547,0.64,1113,6.21,10870
Karabuk,63.72,98.521,36.28,56.084,59.40,94.396,32.05,50.937,0.65,1030,7.91,12564
Kilis,69.99,57.337,30.01,24.580,65.55,55.451,27.02,22.853,0.62,526,6.81,5763
Osmaniye,66.20,212.942,33.80,108.743,62.32,206.929,30.74,102.070,0.54,1784,6.41,21286
Duzce,71.93,187.783,28.07,73.278,68.60,182.976,24.91,66.447,0.39,1051,6.1,16274
